,song_name,album_name,album_link,artist_name,popularity,release_date,song_link,duration_ms,explicit
772,Attitude,Unlock My World,https://open.spotify.com/album/48DcB4A9LV3DugLTILN1D9,fromis_9,63,2023-06-05,https://open.spotify.com/track/1jkoDKZBMInTDwGlqoPOFC,190440,False
773,Mixed Up,BORDER : CARNIVAL,https://open.spotify.com/album/4LGYBcRsteiXjcPD4QQvxv,ENHYPEN,64,2021-04-26,https://open.spotify.com/track/6S0By3u06ttb3kU2XEtWnw,183259,False
774,Trust Fund Baby,minisode 2: Thursday's Child,https://open.spotify.com/album/1o8jYrnyZueTPIdhlHuTc8,TOMORROW X TOGETHER,63,2022-05-09,https://open.spotify.com/track/20pl0RVGT7P6L1Jr9p51nw,156364,False
775,DICE,ENTWURF,https://open.spotify.com/album/2uB0PgzqqWLdk2R736sMkP,NMIXX,63,2022-09-19,https://open.spotify.com/track/6C734SmqoIYuRWo2qSCnpC,165746,False
776,Uchimandai,Vettaikaaran (Original Motion Picture Soundtrack),https://open.spotify.com/album/0hUyJVl6Vu09inweWcUDFC,Vijay Antony,64,2009-09-24,https://open.spotify.com/track/4ozRjRsmzHBWtH7h0mhj1w,252200,False
777,Nxde,I love,https://open.spotify.com/album/5P2uqhsUdWHQ8sEdsX9xZE,(G)I-DLE,63,2022-10-17,https://open.spotify.com/track/7Ejqkb9YfldcLoh8B6bXgj,178453,False
778,"Angel Pt. 1 (feat. Jimin of BTS, JVKE & Muni Long) - Sped Up",FAST X (Sped Up / Original Motion Picture Soundtrack),https://open.spotify.com/album/7nWrdoW9h7NJhk2Bt2rMPO,Fast & Furious: The Fast Saga,63,2023-05-01,https://open.spotify.com/track/6USCIAcTHT2RMom8qXqMyk,146645,False
779,I.L.Y.,Void,https://open.spotify.com/album/6kdRAzt9oU3X9eUdeTB0Yk,The Rose,63,2018-04-16,https://open.spotify.com/track/6dS9qNHAeugVQ8noOOExWW,222021,False
780,Dingga,Dingga,https://open.spotify.com/album/4xzsBcZaK04c8IE5iVyMNK,MAMAMOO,63,2020-10-20,https://open.spotify.com/track/0bDYceyQd1jnJO4sK47YxU,179080,False
781,wave,wave,https://open.spotify.com/album/2tz7mdHF5Ayp2Gz9CS5pjW,wave to earth,64,2019-08-23,https://open.spotify.com/track/2ynVXoCcLRYLL3As8EJfH8,270095,False
782,LUNCH,BSS 1st Single Album 'SECOND WIND',https://open.spotify.com/album/4dHtpne5cAAGgDYFNHu7jW,BSS,63,2023-02-06,https://open.spotify.com/track/0MMIrw3mCssQj4uqJlBzdp,200653,False
783,끝나지 않을 이야기,Extraordinary You Pt.7 (Original Television Soundtrack),https://open.spotify.com/album/5WE235e23KSQzPfOzCY5do,Stray Kids,63,2019-11-07,https://open.spotify.com/track/4K9U23CgCB7eT6BGWltAs4,244866,False
784,Ring The Alarm,KARD 5th Mini Album 'Re:',https://open.spotify.com/album/7pXpC584OFCNWOFmmufGjl,KARD,63,2022-06-22,https://open.spotify.com/track/6jUq2EfNMW7SizzNVVGvhm,185053,False
785,Dailamo Dailamo,Dishyum (Original Background Score),https://open.spotify.com/album/5RlvDz0E0gdOaimBDPngmP,Vijay Antony,63,2006-01-25,https://open.spotify.com/track/3p4vXmvE970zZSZUF0GUnT,267666,False
786,Starlight,Twenty-Five Twenty-One OST Part 1,https://open.spotify.com/album/0w0hh5MzyFh2pyVZnn7Lo2,TAEIL,62,2022-02-13,https://open.spotify.com/track/00Coyxt9mTec1acC52qtWa,225817,False
787,FIRST,Last Melody,https://open.spotify.com/album/4ZDUTnUO9CDFmwdCUCQ6dG,EVERGLOW,63,2021-05-25,https://open.spotify.com/track/021L6LlBBtr34BmFRHd9Ic,212280,False
788,Rose,공감 (Empathy) - The 1st Mini Album,https://open.spotify.com/album/4dqWy2Soq1Z1rqgKfXOATk,D.O.,63,2021-07-26,https://open.spotify.com/track/2bk43y1inDfHx8fFdXar3l,153720,False
789,Dream Girl,Dream Girl,https://open.spotify.com/album/5T1CaRLFtOsukpEPjZ5t0p,Ir Sais,64,2019-05-17,https://open.spotify.com/track/2Sla5cgNpVoRcckYjaAMKP,162894,False
790,Salıncak,Salıncak,https://open.spotify.com/album/7e4M15sSXZHABco4p5O1GD,Mustafa Ceceli,63,2022-01-08,https://open.spotify.com/track/2WvQPmUV1dFdm21C2ryqfo,167772,False
791,Oo Solriya Oo Oo Solriya,Pushpa - The Rise,https://open.spotify.com/album/6mirm559XB8jiveF7ONuUx,Devi Sri Prasad,63,2021-12-10,https://open.spotify.com/track/28fPIWqAfqoEEGSb0rA4LZ,223271,False
792,Her,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,62,2022-06-10,https://open.spotify.com/track/56ymD9oPodUTG8oHhauCMx,228612,False
793,MIDDLE OF THE NIGHT,ALL ABOUT LUV,https://open.spotify.com/album/2O5KXxROQOR8WOdB8fgTCp,MONSTA X,63,2020-02-13,https://open.spotify.com/track/2QqHAiFdDZKFJkr1xCV9dG,166213,False
794,Criminal,Never Gonna Dance Again : Act 1 - The 3rd Album,https://open.spotify.com/album/6YfGgOaUnhs0A9brMqjpHf,TAEMIN,63,2020-09-07,https://open.spotify.com/track/2KXEE2MsPZLmT38XiyAOpH,211400,False
795,05410-(ん),RADWIMPS 4 ~おかずのごはん~,https://open.spotify.com/album/27mMMU3UZQbsCcAURmGvPP,RADWIMPS,64,2006-12-06,https://open.spotify.com/track/45Qz90khfSW8AnaH9vNg5j,190453,False
796,Mr. Chu,Pink Blossom,https://open.spotify.com/album/5BrUPvAXYFeCqLKoTjSw3o,Apink,63,2014-03-31,https://open.spotify.com/track/6fT9eZYgSvhu9v8wzrZkdG,214750,False
797,Rainbow,Hot Sauce - The 1st Album,https://open.spotify.com/album/1miTgxRTUje9Jqml1aOSUi,NCT DREAM,62,2021-05-10,https://open.spotify.com/track/2TyDgN8q5NgOuiR8yYyBYj,231773,False
798,2 Baddies,2 Baddies - The 4th Album,https://open.spotify.com/album/6PMZEFLrGOUBBn4BtLBp0F,NCT 127,62,2022-09-16,https://open.spotify.com/track/7035sowF3NNYDfRUO8GF9H,230293,False
799,Up & Down,AH YEAH,https://open.spotify.com/album/54r8xseUAz0c9ORidjAKmZ,EXID,63,2015-04-14,https://open.spotify.com/track/6BKOhvRPY54uvfqWwg7MKi,189882,False
800,I LOVE YOU,THE FIRST STEP : TREASURE EFFECT,https://open.spotify.com/album/5tQDFmW8QrZdTsICpLQBTL,TREASURE,63,2021-01-11,https://open.spotify.com/track/1SxqqC1aQ8JiLyfMrHYmnF,181618,False
801,MAMA,Mama - The 1st Mini Album,https://open.spotify.com/album/6W3V8bPlayCUbCDRoIRWuc,EXO-K,63,2012-04-09,https://open.spotify.com/track/1EvB6tE5CHluLZaWm3r0bT,270452,False
802,Restless,LISTEN 035 Restless,https://open.spotify.com/album/5xDX8Uv4ojXg0ONDEcAMra,BIBI,63,2020-02-02,https://open.spotify.com/track/4AHNi316rl3KI3hKIsdxZe,267080,False
803,GAM3 BO1,SEVENTEEN 8th Mini Album 'Your Choice',https://open.spotify.com/album/79VvXTQNeLr8KmvcdxN0Pc,SEVENTEEN,62,2021-06-18,https://open.spotify.com/track/5Zt86CL16kbPvuwcmHMEg8,189680,False
804,Dream Glow (BTS World Original Soundtrack) (Pt. 1),Dream Glow (BTS World Original Soundtrack) [Pt. 1],https://open.spotify.com/album/7fEUnTEsnJOXEZtUYMKyOE,BTS,32,2019-06-07,https://open.spotify.com/track/0GjWvVr7TZzceNwdSDRuXy,187457,False
805,Roller Coaster,Offset,https://open.spotify.com/album/04TsF8IFb70DdBYDT8egvw,CHUNG HA,63,2018-01-17,https://open.spotify.com/track/6DIW7GJbuGZdHolRcPWprP,212136,False
806,IF YOU,MADE,https://open.spotify.com/album/2SPrl8C8pgSM5gXbAiyJHY,BIGBANG,62,2016-12-13,https://open.spotify.com/track/4kaY4LbdbomICC25gYGGtn,264215,False
807,Karma,That Karma,https://open.spotify.com/album/6svUGnoz4ra10k5993SGvc,BLACKSWAN,63,2023-05-20,https://open.spotify.com/track/0AZ5C3305mRKWX1x0hDF39,195466,False
808,Blood Sweat & Tears,Proof,https://open.spotify.com/album/6al2VdKbb6FIz9d7lU7WRB,BTS,62,2022-06-10,https://open.spotify.com/track/1wiqEFd8phSCSlteDLSyp2,217051,False
809,Here I Am Again,"Crash Landing on You (Original Television Soundtrack), Pt. 4",https://open.spotify.com/album/2qCB3BnsOtq3Rja6nPslrk,Yerin Baek,63,2020-01-12,https://open.spotify.com/track/1uZ5Ulb2qfle3HbqB12vNQ,234840,False
810,CALL CALL CALL!,WE MAKE YOU,https://open.spotify.com/album/21mnRCzvXqfiY0uRePOEav,SEVENTEEN,62,2018-05-30,https://open.spotify.com/track/6TWCOczft8rK1LiHfVPuRN,199866,False
811,The Feeling,HARD - The 8th Album,https://open.spotify.com/album/3JZJEeWr3LShx36FYbMc5E,SHINee,62,2023-06-26,https://open.spotify.com/track/6v9jWAmaqoBtkAyRp3H2WS,233493,False
812,Allergy,I feel,https://open.spotify.com/album/2cBuoAocFtOZU31Tk6UmTt,(G)I-DLE,62,2023-05-15,https://open.spotify.com/track/0afnaAYZk1IPQSFDd2MGw0,162786,False
813,HOLO,HOLO,https://open.spotify.com/album/5xq9sm0jGMMDu5LifpBBo1,LeeHi,63,2020-07-23,https://open.spotify.com/track/4BSluGpjdLQihMmKgHXMxp,178520,False
814,Stay This Way,from our Memento Box,https://open.spotify.com/album/5HpgQwHm9jI5JcnmJqcCYo,fromis_9,62,2022-06-27,https://open.spotify.com/track/3pqgVtpnQbBAZoWT4AEm1B,195653,False
